09781740597401,3.5
09780618582150,3.4
09781741040913,4.8
09781565124820,3.7
09781580175203,3.8
09780764596865,4.4
09781400052585,4.9
09781584794943,3.0
09780785113447,2.0
09781582406121,2.4
09782884490474,4.9
09781595820631,3.2
09781589943070,4.5
09783861878759,4.5
09780300091694,3.5
09781584281344,4.6
09780740721359,3.2
09780740748479,5.0
09780764119729,0.8
09780131871656,2.4
09781416947400,3.4
09780452268180,3.5
09780805211160,3.9
09780743269513,4.5
09780060577865,5.0
09780446691437,4.8
09780099476337,4.4
09780747573647,3.3
09780593040591,0.9
09780593043165,1.1
